Sold, List, Rooms, Beds, Baths, Age, Acres, Tax
142,160,10,5,3,60,0.28,3167
175,180,8,4,1,12,0.43,4033
129,132,6,3,1,41,0.33,1471
138,140,7,3,1,22,0.46,3204
232,240,8,4,3,5,2.05,3613
135,140,7,4,3,9,0.57,3028
150,160,8,4,3,18,4,3131
207,225,8,4,2,16,2.22,5158
271,285,10,5,2,30,0.53,5702
89,90,5,3,1,43,0.3,2054
